coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,response_mode,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,unique_infant,test_method,agent_argument_number,visual_stimuli_pair,adult_participant,data_source_clean,publication_year,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,row_id
alana/anjie,arunachalam2010,"Arunachalam, S., & Waxman, S. R. (2010). Meaning from syntax: Evidence from 2-year-olds. Cognition, 114(3), 442-446.",https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,Arunachalam & Waxman (2010),results_text,1,Arunachalam & Waxman (2010) - 1a,transitive,point_scene,behavior,action,NA,1,English,831.012,442,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady mooped my brother / he is going to moop her,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA,unique_condition,point,varying,direct_caused_action_parallel_actions,no,text/table,2010,20,0.67,0.5,NA,NA,NA,NA,3.19,0.71,0.7133056848224328,0.062720125,t_one,1
alana/anjie,arunachalam2010,"Arunachalam, S., & Waxman, S. R. (2010). Meaning from syntax: Evidence from 2-year-olds. Cognition, 114(3), 442-446.",https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,Arunachalam & Waxman (2010),results_text,1,Arunachalam & Waxman (2010) - 1b,intransitive,point_scene,behavior,action,NA,2,English,831.012,442,NA,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady and my brother mooped / Oh yes. They are going to moop,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA,unique_condition,point,varying,direct_caused_action_parallel_actions,no,text/table,2010,20,0.57,0.5,NA,NA,NA,NA,1.34,NA,0.2996331089849718,0.0522445,t_one,2
alana/anjie,arunachalam2013b,"Arunachalam, S. (2013). Two-year-olds can begin to acquire verb meanings in socially impoverished contexts. Cognition, 129(3), 569-573.",https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,Arunachalam (2013),results_text,1,Arunachalam (2013) - 1a,transitive,looking_duration,eye-tracking,action,NA,3,English,827.968,75,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl wants to lorp the teacher,"Look, wow! Where's lorping? Find lorping!",2,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,text/table,2013,20,0.59,0.5,NA,0.2,0.2,NA,NA,NA,0.44999999999999984,0.0550625,group_means_one,3
alana/anjie,arunachalam2013b,"Arunachalam, S. (2013). Two-year-olds can begin to acquire verb meanings in socially impoverished contexts. Cognition, 129(3), 569-573.",https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,Arunachalam (2013),results_text,1,Arunachalam (2013) - 1b,intransitive,looking_duration,eye-tracking,action,NA,4,English,827.968,75,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl and the teacher want to lorp,"Look, wow! Where's lorping? Find lorping!",2,NA,unique_condition,look,2,direct_caused_action_parallel_actions,no,text/table,2013,20,0.56,0.5,NA,0.23,0.23,NA,NA,NA,0.2608695652173915,0.051701323251417776,group_means_one,4
anjie,arunachalam2013c,"Arunachalam, S., Escovar, E., Hansen, M. A., & Waxman, S. R. (2013). Out of sight, but not out of mind: 21-month-olds use syntactic information to learn verbs even in the absence of a corresponding event. Language and cognitive processes, 28(4), 417-425.",https://www.tandfonline.com/doi/full/10.1080/01690965.2011.641744,verb,include,Arunachalam et al. (2013),imputed,1,"Arunachalam, Escovar, Hansen, & Waxman, (2013) - 1a",transitive,looking_duration,eye-tracking,action,NA,5,English,645.328,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady mooped my brother / he is going to moop her,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,imputed from arunachalam2010,unique_condition,look,varying,direct_caused_action_parallel_actions,no,imputed,2013,20,0.57,0.5,0.41,0.2,0.2,NA,NA,NA,0.34999999999999976,0.0530625,group_means_one,5
anjie,arunachalam2013c,"Arunachalam, S., Escovar, E., Hansen, M. A., & Waxman, S. R. (2013). Out of sight, but not out of mind: 21-month-olds use syntactic information to learn verbs even in the absence of a corresponding event. Language and cognitive processes, 28(4), 417-425.",https://www.tandfonline.com/doi/full/10.1080/01690965.2011.641744,verb,include,Arunachalam et al. (2013),imputed,1,"Arunachalam, Escovar, Hansen, & Waxman, (2013) - 1b",intransitive,looking_duration,eye-tracking,action,NA,6,English,645.328,NA,NA,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady and my brother mooped / Oh yes. They are going to moop,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,imputed from arunachalam2010,unique_condition,look,varying,direct_caused_action_parallel_actions,no,imputed,2013,20,0.59,0.5,0.6,0.23,0.23,NA,NA,NA,0.3913043478260868,0.05382797731568998,group_means_one,6
anjie,arunachalam2019,"Arunachalam, S., & Dennis, S. (2019). Semantic detail in the developing verb lexicon: An extension of Naigles and Kako (1993). Developmental science, 22(1), e12697.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/desc.12697,verb,include,Arunachalam & Dennis (2019),author_contact,1,Arunachalam & Dennis (2019) - 1a,transitive,looking_duration,eye-tracking,action,NA,7,English,831.012,NA,72,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,simultaneous,no,yes,distributed,4,1,1,3,The girl is lorping the lady,Do you see lorping?,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,author_contact,2019,19,0.47,0.5,0.46,0.16,0.16,NA,NA,NA,-0.18750000000000017,0.05355674342105263,group_means_one,7
anjie,arunachalam2019,"Arunachalam, S., & Dennis, S. (2019). Semantic detail in the developing verb lexicon: An extension of Naigles and Kako (1993). Developmental science, 22(1), e12697.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/desc.12697,verb,include,Arunachalam & Dennis (2019),author_contact,1,Arunachalam & Dennis (2019) - 1b,intransitive,looking_duration,eye-tracking,action,NA,8,English,831.012,NA,80,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,simultaneous,no,yes,distributed,4,1,1,3,The girl and the lady are lorping,Do you see lorping?,NA,NA,unique_condition,look,2,direct_caused_action_parallel_actions,no,author_contact,2019,19,0.34,0.5,0.43,0.18,0.18,NA,NA,NA,-0.8888888888888888,0.07342430149447693,group_means_one,8
anjie,arunachalam2019,"Arunachalam, S., & Dennis, S. (2019). Semantic detail in the developing verb lexicon: An extension of Naigles and Kako (1993). Developmental science, 22(1), e12697.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/desc.12697,verb,include,Arunachalam & Dennis (2019),author_contact,2,Arunachalam & Dennis (2019) - 2a,transitive,looking_duration,eye-tracking,action,NA,9,English,851.2,NA,80,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,Suzy lorped the cat.,Do you see lorping?,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,author_contact,2019,19,0.37,0.5,0.42,0.15,0.15,NA,NA,NA,-0.8666666666666667,0.07239766081871345,group_means_one,9
anjie,arunachalam2019,"Arunachalam, S., & Dennis, S. (2019). Semantic detail in the developing verb lexicon: An extension of Naigles and Kako (1993). Developmental science, 22(1), e12697.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/desc.12697,verb,include,Arunachalam & Dennis (2019),author_contact,2,Arunachalam & Dennis (2019) - 2b,intransitive,looking_duration,eye-tracking,action,NA,10,English,851.2,NA,73,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,Suzy and the cat lorped.,Do you see lorping?,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,author_contact,2019,19,0.35,0.5,0.42,0.17,0.17,NA,NA,NA,-0.8823529411764707,0.07311965033691495,group_means_one,10
